id,question,category,answer_format,n_matches,entity_match,column_mappings,in_columns,phrase_matches,references,n_matches_predict
1,What is the average rent price of all buildings that are located within 100 meters from the closest church in 1740?,spatial,a single number,1,0,"[('rent price', 'rent_price', 1), ('church', 'landmark_name', 3), ('longitude', None, 3), ('latitude', None, 3)]","[True, True, False, False]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",[],1
2,What is the average building area of all buildings that are located within 100 meters from the closest church in 1808?,spatial,a single number,1,0,"[('building area', 'building_area', 2), ('church', 'landmark_name', 3), ('distance', 'longitude/latitude', 2)]","[False, True, False]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'building area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",1
3,Which square has the highest density of tenants within 100 meters in 1740?,spatial,a single entity name,1,0,"[('square', 'Landmark_Type', 3), ('building_functions_count', 'building_functions_count', 1), ('rent_price', 'rent_price', 1), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[True, False, False, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'building_functions_count': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'rent_price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'longitude': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'latitude': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",1
4,Which square has the highest density of buildings within 100 meters in 1808?,spatial,a single entity name,1,0,"[('square', 'Landmark_Type', 3), ('building_functions_count', 'building_functions_count', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, True, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'longitude': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'latitude': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",1
5,Is the building rent price correlated with the distance from the nearest square in 1740?,spatial,yes or no,1,0,"[('building rent price', 'rent_price', 1), ('distance from the nearest square', 'longitude', 3), ('distance from the nearest square', 'latitude', 3)]","[False, False, False]",[],"[{'building rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'distance from the nearest square': {'dataset': 'data/landmarks.csv', 'column': 'longitude'}}, {'distance from the nearest square': {'dataset': 'data/landmarks.csv', 'column': 'latitude'}}]",0
6,Is the building area correlated with the distance from the nearest square in 1808?,spatial,yes or no,1,0,"[('building area', 'building_area', 2), ('distance from the nearest square', ['longitude', 'latitude'], 3), ('1808', None, 2)]","[False, False, False]",[],"[{'building area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
7,In which parish the houses are the most densely located in 1740?,spatial,a single entity name,1,1,"[('In which', 'parish', 1), ('parish', 'parish', 1), ('houses', 'building_functions', 1)]","[False, True, False]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]","[{'in which': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
8,In which district the houses are the most densely located in 1808?,spatial,a single entity name,1,1,"[('district', 'district', 2)]",[True],[],[],0
9,In how many parishes there are more than 10 houses in 1740?,spatial,a single number,1,1,"[('parish', 'parish', 1), ('building_functions_count', 'building_functions_count', 1)]","[True, True]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",[],1
10,In how many parishes there are more than 1 school in 1740?,spatial,a single number,1,1,"[('parishes', 'parish', 1), ('more than 1 school', 'building_functions_count', 1)]","[True, True]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}]",[],1
