question,category,answer_format,n_matches,column_mappings,in_columns,phrase_matches,references,n_matches_predict
What is the average rent price of all buildings that are located within 100 meters of a church compared to those further away in 1740?,spatial,a single number,1,"[('What is the average rent price', 'rent_price', 1), ('all buildings that are located within 100 meters of a church', 'location', 3), ('all buildings that are located within 100 meters of a church', 'parish', 1), ('all buildings that are located within 100 meters of a church', 'landmark_name', 3)]","[False, False, False, False]",[],"[{'what is the average rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'all buildings that are located within 100 meters of a church': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'all buildings that are located within 100 meters of a church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name'}}]",0
What is the average building area of all buildings that are located within 100 meters of a church compared to those further away in 1808?,spatial,a single number,1,"[('church', 'landmark_type', 3), ('building area', 'building_area', 2), ('within 100 meters', 'location', 2), ('further away', None, None)]","[True, False, False, False]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'building area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}, {'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'location'}}]",1
Which square has the highest density of tenants within 100 meters in 1740?,spatial,a single entity name,1,"[('square', 'Landmark_Type', 3), ('tenants', 'tenant_name', 1), ('location', 'longitude', 1), ('location', 'latitude', 1)]","[True, True, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'tenants': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name', 'matches': ['giovanni battista talota', 'domenico zane']}}]","[{'location': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'location': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",2
Which square has the highest density of buildings within 100 meters in 1808?,spatial,a single entity name,1,"[('square', 'Landmark_Name', 3), ('building_functions_count', 'building_functions_count', 2)]","[True, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",[],1
Is the building rent price correlated with the distance from the nearest square in 1740?,spatial,"yes or ""no""",1,"[('building rent price', 'rent_price', 1), ('distance from the nearest square', 'location', 3), ('nearest square', 'landmark_name', 3)]","[False, True, True]","[{'nearest square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'building rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",1
Is the building area correlated with the distance from the nearest square in 1808?,spatial,"yes or ""no""",1,[],[],[],[],0
Where are the houses densely located in 1740?,spatial,a single entity name,1,"[('houses', 'building_functions', 1), ('densely', 'location', 1)]","[False, False]",[],"[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'densely': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}]",0
Where are the houses densely located in 1808?,spatial,a single entity name,1,"[('houses', 'building_functions', 1), ('densely located', 'location', 2)]","[False, False]",[],"[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'densely located': {'dataset': 'data/buildings_1808.csv', 'column': 'location'}}]",0
Are low-rent buildings with less than average rent price clustered in specific areas in 1740?,spatial,"yes or ""no""",0,"[('low-rent', 'rent_price', 1), ('average rent price', 'rent_price', 1), ('clustered in specific areas', 'location', 1), ('clustered in specific areas', 'parish', 1), ('clustered in specific areas', 'longitude', 1)]","[False, False, False, False, False]",[],"[{'low-rent': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'average rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'clustered in specific areas': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}, {'clustered in specific areas': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'clustered in specific areas': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}]",0
Are small buildings with smaller than average building size clustered in specific areas in 1808?,spatial,"yes or ""no""",0,"[('small', None, None), ('buildings', 'building_functions', 2), ('building size', 'building_area', 2), ('clustered', None, None)]","[True, False, False, False]",[],"[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'building size': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
How many people live within 100 meters of a church in 1740?,spatial,a single number,1,"[('people', 'owner_first_name', 1), ('church', 'landmark_name', 3)]","[True, True]","[{'people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['ottavio', 'ludovico', 'ottavia', 'vita']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",[],2
How many people live within 100 meters of a church in 1808?,spatial,a single number,1,"[('people', 'owner_first_name', 2), ('people', 'owner_family_name', 2), ('church', 'landmark_name', 3), ('within 100 meters of', None, None)]","[False, False, True, True]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}, {'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",1
"On average, how much more expensive are houses near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,"[('houses', 'building_functions', 1), ('near the squares', 'landmark_type', 3), ('within 100 meters', 'location', 1), ('compared to those further away', 'location', 1)]","[False, True, True, False]","[{'near the squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'location', 'matches': ['scale de piera', ""scala d'abram di mazo"", 'scala della scola luzata', ""scale di ca' balbi"", 'scale primo ramo']}}]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}]",2
"On average, how much bigger are houses near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,"[('houses', 'building_functions', 2), ('squares', 'landmark_name', 3), ('100 meters', None, None)]","[False, True, True]",[],"[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
"On average, how much more expensive are houses near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,"[('houses', 'building_functions', 1), ('churches', 'landmark_name', 3)]","[False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
"On average, how much bigger are houses near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,"[('houses', 'building_functions', 2), ('churches', 'landmark_name', 3)]","[False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
How many buildings are located around the square of San Marco within 100 meters in 1740?,spatial,a single number,1,"[('San Marco', 'landmark_name', 3), ('square', 'Landmark_Type', 3), ('buildings', 'building_functions_count', 1), ('within 100 meters', None, None)]","[True, True, True, False]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
How many buildings are located around the square of San Marco within 100 meters in 1808?,spatial,a single number,1,"[('San Marco', 'landmark_name', 3), ('square', 'Landmark_Type', 3), ('buildings', 'building_functions_count', 2), ('within 100 meters', None, None)]","[True, True, True, True]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
Are the buildings located within 100 meters from San Marco more expensive than the buildings located within 100 meters from other squares in 1740?,spatial,"yes or ""no""",2,"[('San Marco', 'landmark_name', 3), ('buildings', 'owner_first_name', 1), ('buildings', 'owner_family_name', 1), ('buildings', 'owner_first_name', 2), ('buildings', 'owner_family_name', 2)]","[True, True, True, True, False]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['domenego', 'murin', 'zanetta domenico']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['piazza']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['castelli']}}]","[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",4
Are the buildings located within 100 meters from San Marco bigger than the buildings located within 100 meters from other squares in 1808?,spatial,"yes or ""no""",2,"[('San Marco', 'landmark_name', 3), ('buildings', 'building_functions', 2), ('buildings', 'owner_first_name', 2)]","[True, True, False]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]","[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}]",2
On average how far do people live from the squares in 1740?,spatial,a single number,1,"[('On average how far', None, None), ('do people live', 'location', 1), ('from the squares', 'landmark_name', 3)]","[True, True, True]",[],[],0
On average how far do people live from the squares in 1808?,spatial,a single number,1,"[('squares', 'Landmark_Type', 3), ('people', 'owner_first_name', 2), ('people', 'owner_family_name', 2)]","[True, True, False]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['ottavio', 'giudo', 'redenti', 'amadio', 'gioavnni', 'vita']}}]","[{'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",2
Which neighborhood has the highest density of different families in 1740?,spatial,a single entity name,0,"[('neighborhood', 'location', 1), ('density', 'building_functions_count', 1), ('different families', 'building_functions_count', 1)]","[False, True, False]",[],"[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}, {'different families': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",0
Which neighborhood has the highest density of different families in 1808?,spatial,a single entity name,0,"[('neighborhood', 'district', 2), ('density', None, -1), ('different families', 'owner_family_name', 2)]","[False, False, False]",[],"[{'neighborhood': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}, {'different families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
How many churches does each parish have on average in 1740?,spatial,a single number,1,"[('many', 'building_functions_count', 1), ('churches', 'landmark_name', 3), ('parish', 'parish', 1)]","[True, True, True]","[{'many': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count', 'matches': ['1']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",[],3
How many churches does each district have on average in 1808?,spatial,a single number,1,"[('How many', 'building_functions_count', 2), ('churches', 'landmark_type', 3), ('each district', 'district', 2)]","[False, True, False]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'how many': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'each district': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}]",1
Is there a significant difference in the rent prices for buildings within 100 meters from churches versus from squares in 1740?,spatial,"yes or ""no""",2,"[('rent prices', 'rent_price', 1), ('buildings within 100 meters from churches versus from squares', 'location', 1), ('buildings within 100 meters from churches versus from squares', 'landmark_name', 3), ('buildings within 100 meters from churches versus from squares', 'building_functions', 1)]","[False, True, True, True]","[{'buildings within 100 meters from churches versus from squares': {'dataset': 'data/buildings_1740.csv', 'column': 'location', 'matches': ['calle corrente verso la chiesa', 'calle per andar alla chiesa', 'calle dietro la chiesa', 'altra calle in fazza la chiesa', 'calle drio la chiesa', 'calle larga alla chiesa', 'calle dietro alla chiesa', 'calle larga dietro la chiesa']}}, {'buildings within 100 meters from churches versus from squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['basilica di san pietro di castello']}}]","[{'rent prices': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",2
Is there a significant difference in the area of buildings within 100 meters from churches versus from squares in 1808?,spatial,"yes or ""no""",2,"[('area of buildings', 'building_area', 2), ('churches', 'landmark_name', 3), ('squares', 'landmark_name', 3), ('location', 'location', 1), ('parish', 'parish', 1)]","[False, True, True, False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]","[{'area of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}, {'location': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}]",2
Which neighborhood contains the buildings with the highest rent price on average in 1740?,spatial,a single entity name,0,"[('neighborhood', 'location', 1), ('highest rent price', 'rent_price', 1)]","[False, True]",[],"[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}]",0
Which neighborhood contains the buildings with the largest area on average in 1808?,spatial,a single entity name,0,"[('neighborhood', 'district', 2), ('buildings', None, None), ('largest area', 'building_area', 2)]","[True, True, True]",[],[],0
What is the name of the most densely populated square within 100 meters in 1740?,spatial,a single entity name,1,"[('the name', 'landmark_name', 3)]",[True],[],[],0
What is the name of the most densely populated square within 100 meters in 1808?,spatial,a single entity name,1,"[('the name', 'landmark_name', 3)]",[True],[],[],0
How many buildings are there per parish on average in 1740?,spatial,a single number,0,"[('buildings', 'building_functions_count', 1), ('per parish', 'parish', 1)]","[False, False]",[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'per parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",0
How many buildings are there per district on average in 1808?,spatial,a single number,0,"[('buildings', 'building_functions_count', 2), ('per district', 'district', 2)]","[False, False]",[],"[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'per district': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}]",0
What is the parish with the highest rent price in 1740?,spatial,a single entity name,0,"[('parish', 'parish', 1), ('rent price', 'rent_price', 1)]","[True, True]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",[],1
What is the district with the largest buildings in 1808?,spatial,a single entity name,0,"[('district', 'district', 2), ('buildings', 'building_functions_count', 2)]","[True, False]",[],"[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
"Among all the parishes, what is the highest density of buildings with multiple functions in 1740?",spatial,a single number,0,"[('parish', 'parish', 1), ('building_functions_count', 'building_functions_count', 1), ('building_functions', 'building_functions', 1)]","[False, True, False]",[],"[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'building_functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",0
"Among all the districts, what is the highest density of buildings with multiple functions in 1808?",spatial,a single number,0,"[('district', 'district', 2), ('building_functions_count', 'building_functions_count', 2), ('Building_Functions', 'building_functions', 2)]","[False, False, False]",[],"[{'district': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}, {'building_functions_count': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'building_functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
