id,question,category,answer_format,n_matches,entity_match,column_mappings,phrase_matches,n_matches_predict
1,What is the average rent price of all buildings that are located within 100 meters from the closest church in 1740?,spatial,a single number,1,0,"[('church', 'landmark_type', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",1
2,What is the average building area of all buildings that are located within 100 meters from the closest church in 1808?,spatial,a single number,1,0,"[('building_area', 'building_area', '2'), ('landmark_name', 'landmark_name', '3')]",[],0
3,Which square has the highest density of tenants within 100 meters in 1740?,spatial,a single entity name,1,0,"[('square', 'landmark_type', 3), ('tenants', 'building_functions_count', 1), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",1
4,Which square has the highest density of buildings within 100 meters in 1808?,spatial,a single entity name,1,0,"[('square', 'landmark_type', 3), ('building_area', 'building_area', 2)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",1
5,Is the building rent price correlated with the distance from the nearest square in 1740?,spatial,yes or no,1,0,"[('building rent price', 'rent_price', 1), ('distance from the nearest square', 'longitude', 1), ('distance from the nearest square', 'latitude', 1), ('distance from the nearest square', 'longitude', 3), ('distance from the nearest square', 'latitude', 3)]",[],0
6,Is the building area correlated with the distance from the nearest square in 1808?,spatial,yes or no,1,0,"[('building area', 'building_area', '2'), ('distance from the nearest square', 'landmark_type', '3'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2')]","[{'distance from the nearest square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",1
7,In which parish the houses are the most densely located in 1740?,spatial,a single entity name,1,1,"[('houses', 'building_functions', 1), ('parish', 'parish', 1)]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",2
8,In which district the houses are the most densely located in 1808?,spatial,a single entity name,1,1,"[('houses', 'building_functions', 2), ('district', 'district', 2), ('densely located', 'building_area', 2)]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}]",1
9,In how many parishes there are more than 10 houses in 1740?,spatial,a single number,1,1,[],[],0
10,In how many parishes there are more than 1 school in 1740?,spatial,a single number,1,1,"[('parishes', 'parish', 1), ('school', 'building_functions', 1)]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}, {'school': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}]",2
11,In how many parishes there are less than 10 shops in 1740?,spatial,a single number,1,1,"[('parishes', 'parish', 1), ('shops', 'building_functions', 1)]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}, {'shops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['calle, magazzeno']}}]",2
12,In how many districts there are more than 10 houses in 1808?,spatial,a single number,1,1,"[('districts', 'district', '2'), ('houses', 'building_functions', '2')]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}]",1
13,In how many districts there are more than 1 school in 1808?,spatial,a single number,1,1,"[('districts', 'district', '2'), ('more than 1 school', 'building_functions', '2')]","[{'more than 1 school': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno, scuola']}}]",1
14,In how many districts there are less than 10 shops in 1808?,spatial,a single number,1,1,"[('districts', 'district', 2), ('shops', 'building_functions', 2), ('less than 10', 'building_functions_count', 2)]","[{'shops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['locale, magazzeno']}}]",1
15,Are low-rent buildings with less than average rent price clustered in specific areas in 1740?,spatial,yes or no,0,0,[],[],0
16,Are small buildings with smaller than average building size clustered in specific areas in 1808?,spatial,yes or no,0,0,"[('small buildings', 'building_functions', 2), ('smaller than average building size', 'building_area', 2), ('specific areas', 'district', 2)]","[{'small buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['bottega, casa, corto, magazzeno, portico', 'casa, corto, portico']}}]",1
17,How many people live within 100 meters from the closest church in 1740?,spatial,a single number,1,0,"[('people', 'owner_first_name', 1), ('people', 'tenant_name', 1), ('people', 'owner_first_name', 2), ('live', 'building_functions', 1), ('live', 'building_functions', 2), ('church', 'landmark_name', 3)]","[{'people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['ottavio', 'ludovico', 'ottavia', 'vita']}}, {'people': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name', 'matches': ['domenico persone', 'iseppo persone']}}, {'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['ottavio', 'giudo', 'redenti', 'amadio', 'gioavnni', 'vita']}}, {'live': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa']}}, {'live': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",6
